question,A,B,C,D,answer,file
What configuration change is recommended if you see a 'requests.exceptions.ConnectionError' in a Spark on Kubernetes container?,Set 'spark.driver.host' to the DNS name or IP address of DSS backend.,Increase the number of Spark executors.,Update the Spark version to the latest release.,Restart the Spark cluster.,A,../data/dataiku\containers\troubleshooting.md
What is the minimum Kubernetes version required to use a single unmanaged cluster with DSS?,1.8,1.9,1.10,1.11,C,../data/dataiku\containers\unmanaged-k8s-clusters.md
Which tool does DSS leverage for Kubernetes management?,kubectl,helm,minikube,kubeadm,A,../data/dataiku\containers\unmanaged-k8s-clusters.md
Which of the following steps is NOT part of the initial setup for using managed AKS clusters?,Create your ACR registry,Install the AKS plugin,Enable GPU support on the cluster,"Prepare your local `az`, `docker`, and `kubectl` commands",C,../data/dataiku\containers\aks\index.md
What is recommended for a complete Elastic AI setup in Azure?,Reading the dedicated Azure documentation,Using unmanaged AKS clusters,Using only elastic storage,Using only elastic compute,A,../data/dataiku\containers\aks\index.md
Which command is used to log in to the Azure CLI with a service principal?,az login --service-principal --username client_id --password client_secret --tenant tenant_id,az acr login --name your-registry-name,kubectl login --service-principal --username client_id --password client_secret --tenant tenant_id,docker login --service-principal --username client_id --password client_secret --tenant tenant_id,A,../data/dataiku\containers\aks\managed.md
What must be added to the command line to build a CUDA-enabled base image?,--with-cuda,--enable-gpu,--cuda-support,--gpu-enabled,A,../data/dataiku\containers\aks\managed.md
What key-value pair should be added in the 'Custom limits' section to request 1 GPU?,gpu.com/nvidia: 1,nvidia.com/gpu: 1,cuda.com/gpu: 1,gpu.com/cuda: 1,B,../data/dataiku\containers\aks\managed.md
Which command is used to build a CUDA-enabled base image for containerized execution in Dataiku?,./bin/dssadmin build-base-image --type container-exec --with-cuda,./bin/dssadmin build-base-image --type container-exec --with-gpu,./bin/dssadmin build-base-image --type container-exec --with-nvidia,./bin/dssadmin build-base-image --type container-exec --with-tensorflow,A,../data/dataiku\containers\aks\unmanaged.md
What is the recommended minimum memory allocation for each node in an Azure Kubernetes Service (AKS) cluster?,8GB,16GB,32GB,64GB,B,../data/dataiku\containers\aks\unmanaged.md
Which Kubernetes versions have been tested for cluster management in Dataiku?,1.20 to 1.25,1.21 to 1.26,1.23 to 1.29,1.22 to 1.28,C,../data/dataiku\containers\aks\unmanaged.md
Which of the following is required to use DGX Systems with Dataiku?,Adding DGX Kubernetes cluster as a managed cluster in Dataiku.,Building an image with CUDA support.,Using only cloud-based DGX systems.,Ensuring Multi-Instance GPU (MIG) support.,B,../data/dataiku\containers\dgxsystems\index.md
What type of support does NVidia DGX have in Dataiku?,Tier 1 support,Tier 2 support,Tier 3 support,No support,B,../data/dataiku\containers\dgxsystems\index.md
Which of the following commands is necessary to build a CUDA-enabled base image for GPU support in Dataiku DSS?,./bin/dssadmin build-base-image --type container-exec --with-cuda,./bin/dssadmin build-base-image --type container-exec --with-gpu,./bin/dssadmin build-base-image --type container-exec --enable-cuda,./bin/dssadmin build-base-image --type container-exec --cuda-support,A,../data/dataiku\containers\eks\managed.md
What is the recommended way to define the connection to AWS for EKS cluster configuration in Dataiku DSS?,Provide the connection value inline in each cluster,Use the AWS credentials found by the 'aws' command in '~/.aws/credentials',Use a hardcoded value in the plugin’s settings,Manually set up the connection in the DSS host,B,../data/dataiku\containers\eks\managed.md
Which of the following is NOT a required command to prepare your local machine for using EKS with Dataiku DSS?,aws,aws-iam-authenticator,kubectl,terraform,D,../data/dataiku\containers\eks\managed.md
Which of the following commands is used to build a CUDA-enabled base image for Dataiku DSS?,./bin/dssadmin build-base-image --type container-exec --with-cuda,./bin/dssadmin build-base-image --type container-exec --with-gpu,./bin/dssadmin build-base-image --type container-exec --with-nvidia,./bin/dssadmin build-base-image --type container-exec --with-tensorflow,A,../data/dataiku\containers\eks\unmanaged.md
What is the minimum recommended memory allocation for each Amazon EKS cluster node?,10 GB,15 GB,20 GB,25 GB,B,../data/dataiku\containers\eks\unmanaged.md
Which of the following is NOT a required step to enable GPU support on an EKS cluster?,Install the NVidia Driver,Install the Cuda driver,Install the NVidia docker runtime,Install the CUDA toolkit,D,../data/dataiku\containers\eks\unmanaged.md
Which command is used to build a CUDA-enabled base image for containerized execution in Dataiku DSS?,./bin/dssadmin build-base-image --type container-exec --with-cuda,./bin/dssadmin build-base-image --type container-exec --with-gpu,./bin/dssadmin build-base-image --type container-exec --with-nvidia,./bin/dssadmin build-base-image --type container-exec --with-tensorflow,A,../data/dataiku\containers\gke\managed.md
What is the recommended way to define the connection to GCP in Dataiku DSS?,Inline in each cluster,As a preset in the 'GKE connection' plugin settings,Using a separate configuration file,Through the Dataiku DSS command line interface,B,../data/dataiku\containers\gke\managed.md
Which of the following is NOT a required command to prepare your local machine for using GKE with Dataiku DSS?,gcloud,gke-gcloud-auth-plugin,kubectl,terraform,D,../data/dataiku\containers\gke\managed.md
Which command is used to build a CUDA-enabled base image for containerized execution in Dataiku DSS?,./bin/dssadmin build-base-image --type container-exec --with-cuda,./bin/dssadmin build-base-image --type container-exec --with-gpu,./bin/dssadmin build-base-image --type container-exec --with-nvidia,./bin/dssadmin build-base-image --type container-exec --with-tensorflow,A,../data/dataiku\containers\gke\unmanaged.md
What is the recommended minimum memory allocation for each GKE cluster node when creating a GKE cluster for Dataiku DSS?,8GB,16GB,32GB,64GB,B,../data/dataiku\containers\gke\unmanaged.md
Which of the following Kubernetes versions has cluster management been tested with for Dataiku DSS?,1.20,1.21,1.23,1.30,C,../data/dataiku\containers\gke\unmanaged.md
Which of the following is NOT a type of tile that can be added to a DSS dashboard?,Simple tile,Insight tile,Filters panel tile,Interactive tile,D,../data/dataiku\dashboards\concepts.md
What is an insight in the context of a DSS dashboard?,A static text tile,A piece of information that can be shared on a dashboard,A filter applied to a dashboard,A user permission setting,B,../data/dataiku\dashboards\concepts.md
Who can modify a dashboard created by a given user?,Only the owner,People with 'Read dashboards' permission,People with 'Write Dashboard' access and DSS administrators,Anyone with access to the project,C,../data/dataiku\dashboards\concepts.md
Which of the following is NOT an option for displaying the title of a tile on a Dataiku dashboard?,Never,Permanently,Only if you hover on the tile,Only if you click on the tile,D,../data/dataiku\dashboards\display-settings.md
What happens by default when you click on a chart or dataset tile in Dataiku?,It opens the insight,It does nothing,It opens another insight,It captures all clicks,B,../data/dataiku\dashboards\display-settings.md
Which of the following is NOT a way to create dashboard exports automatically in Dataiku?,Using the 'mail reporters' mechanism in a scenario,Using a dedicated scenario step to store in a managed folder,Downloading manually from the dashboard interface,Selecting a 'dashboard export' attachment in a mail reporter,C,../data/dataiku\dashboards\exports.md
What must be done before the dashboards export feature can be used in Dataiku?,Install a third-party plugin,Enable the export feature on your DSS instance,Create a new user account,Update the software to the latest version,B,../data/dataiku\dashboards\exports.md
What is the primary purpose of applying filters to a dashboard page?,To remove all data from the dashboard,To refine insights and focus on specific data,To change the layout of the dashboard,To add new datasets to the dashboard,B,../data/dataiku\dashboards\filters.md
Which mode allows you to add and remove filters as well as configure their default states?,View mode,Edit mode,Cross-filtering mode,Filter panel mode,B,../data/dataiku\dashboards\filters.md
What happens to changes made to filters in View mode when you exit the dashboard?,They are saved automatically,They are shared with all users,They are lost,They are saved as a new dashboard,C,../data/dataiku\dashboards\filters.md
Which of the following is used to describe a deactivated filter in Dataiku's filter query parameter syntax?,NO_VALUE,OFF,HOUR_OF_DAY,DAY_OF_WEEK,B,../data/dataiku\dashboards\url-filters-query-param.md
What operator is used in Dataiku's filter query parameter syntax to specify a list of values to include?,nin,range,in,daterange,C,../data/dataiku\dashboards\url-filters-query-param.md
"In Dataiku's filter query parameter syntax, how are special characters encoded?",Using their hexadecimal ASCII code prefixed by '_x' and suffixed by '_',Using their Unicode code point prefixed by '\u',Using their HTML entity names,Using their binary code prefixed by '0b',A,../data/dataiku\dashboards\url-filters-query-param.md
Which of the following is true about publishing a chart insight from a dataset?,You need at least 'Write project content' permission.,Modifications in the insight will be reflected in the dataset chart.,You need at least 'Read project content' permission.,Charts built in a visual analysis can be published to the Dashboard.,C,../data/dataiku\dashboards\insights\chart.md
What can you modify if you have write access to the chart insight?,Only the filters,"All settings including axis, legends, and filters",Only the axis and legends,Only the displayed data,B,../data/dataiku\dashboards\insights\chart.md
What happens when you click the '+' button from the dashboard to add tiles?,You are redirected to the 'View' display of the insight.,You can only see datasets that have been dashboard-authorized.,You can only add pre-existing charts.,You can modify the chart directly in the dashboard view.,B,../data/dataiku\dashboards\insights\chart.md
Which of the following is NOT a location from which you can publish a Data Quality insight?,From the Data Quality current status page,From the dashboard,From the Data Quality rules page,From the project Data Quality page,C,../data/dataiku\dashboards\insights\data-quality.md
What does the breakdown view provide for a non-partitioned dataset?,A per-rule breakdown,A per-partition breakdown,A per-dataset breakdown,A per-project breakdown,A,../data/dataiku\dashboards\insights\data-quality.md
Which of the following is NOT a source from which you can publish a dataset table insight?,From a dataset,From the dashboard,From the model version,From the managed folder,C,../data/dataiku\dashboards\insights\index.md
What is one way to publish a Jupyter notebook insight?,From the metrics view,From the notebook,From the model version,From the scenario,B,../data/dataiku\dashboards\insights\index.md
Which of the following insights can be published from the Data Quality current status page?,Chart insight,Dataset table insight,Data Quality insight,Webapp insight,C,../data/dataiku\dashboards\insights\index.md
Which of the following permissions are required to publish a Jupyter notebook insight?,Read project content and Write safe code,Write project content and Write safe code,Read project content and Create Jupyter notebook,Write project content and Create Jupyter notebook,B,../data/dataiku\dashboards\insights\jupyter-notebook.md
What does the 'Publish' action do when performed from a Jupyter notebook?,Creates a snapshot of the notebook and sends an email notification,Creates a snapshot of the notebook and archives the previous version,"Creates a snapshot of the notebook, creates an insight pointing to it, and adds the insight to a specified dashboard",Creates a snapshot of the notebook and deletes the previous version,C,../data/dataiku\dashboards\insights\jupyter-notebook.md
Where can you publish a Jupyter notebook insight from?,Only from the notebook,Only from the dashboard,From the notebook and the dashboard,"From the notebook, the dashboard, and the project settings",C,../data/dataiku\dashboards\insights\jupyter-notebook.md
What is required to publish a managed folder insight from the managed folder?,Write project content permission,Read project content permission,Admin access,Dashboard access,B,../data/dataiku\dashboards\insights\managed-folder.md
Which of the following is NOT a method to publish a managed folder insight?,From the managed folder,From the dashboard,From the Flow,From the API node,D,../data/dataiku\dashboards\insights\managed-folder.md
What additional options does the 'View' tab of the insight offer?,Edit the insight,Delete the insight,Download options,Change permissions,C,../data/dataiku\dashboards\insights\managed-folder.md
Which of the following is a method to publish a metric insight?,From the metrics view,From the dashboard,From the project settings,From the data preparation view,A,../data/dataiku\dashboards\insights\metric.md
What is required to publish a metric insight from the metrics view?,Write project content permission,Read project content permission,Admin access,Dashboard access,B,../data/dataiku\dashboards\insights\metric.md
What can the tile display in the dashboard?,Only the current value of the metric,Only the history values,Both the current value and the history values,Only a list of values,C,../data/dataiku\dashboards\insights\metric.md
Which of the following is NOT a way to publish a model report insight?,From the model version,From the dashboard,From the Flow,From the project settings,D,../data/dataiku\dashboards\insights\model-report.md
What does the tile display of a 'model report' show?,A single report page,Multiple report pages,Only the summary page,Only the confusion matrix,A,../data/dataiku\dashboards\insights\model-report.md
What must be done to show multiple pages of a model report insight in a dashboard?,Create several tiles based on the model report insight,Edit the original model,Change the tile settings to show all pages,Use the 'View insight' option,A,../data/dataiku\dashboards\insights\model-report.md
Which permission is required to publish a scenario runs report insight from the scenario’s action menu?,Manage dashboard authorizations,Read project content,Write project content,Run scenario,B,../data/dataiku\dashboards\insights\scenario.md
What does the 'Run scenario' insight allow dashboard-only users to do?,Edit the scenario,View the scenario history,Run a scenario,Download scenario files,C,../data/dataiku\dashboards\insights\scenario.md
Which of the following is required to publish a webapp insight from the webapp's view?,Write project content permission,Read project content permission,Dashboard access,Admin access,B,../data/dataiku\dashboards\insights\webapp.md
What must be done before a webapp can be displayed in the dashboard?,It must be published from the dashboard,It must be run at least once in the webapp editor,It must be authorized by an admin,It must be saved in the project folder,B,../data/dataiku\dashboards\insights\webapp.md
How can 'standard' web apps dynamically adjust their content based on dashboard filters?,By using a special API,By listening for messages sent from the dashboard,By accessing the project settings,By modifying the webapp editor,B,../data/dataiku\dashboards\insights\webapp.md
What can you do in the Datasets & Indexed Tables section of the Data Catalog if you have relevant permissions?,Delete datasets from the Dataiku instance.,Use a dataset in your own projects or publish it to a Data Collection or the Feature Store.,Modify the schema of external databases.,Change the data steward of a dataset.,B,../data/dataiku\data-catalog\datasets-indexed-tables.md
What additional feature is available if your instance admin has indexed your external database connections?,You can delete external tables.,You can toggle to search Indexed External Tables.,You can modify external database schemas directly.,You can change the data steward of external tables.,B,../data/dataiku\data-catalog\datasets-indexed-tables.md
Which of the following categories is NOT a way to search for data in the Data Catalog?,Data Collections,Datasets & Indexed Tables,Connections Explorer,Data Pipelines,D,../data/dataiku\data-catalog\index.md
Where can you find the 'Popular Datasets' in the Data Catalog?,At the top of the homepage,In the Data Collections section,At the bottom of the homepage,In the Connections Explorer,C,../data/dataiku\data-catalog\index.md
Which of the following is NOT a condition for a dataset to be considered popular in Dataiku?,It has a recent last build date.,It has been shared with multiple projects.,It is used in at least one downstream recipe in a project it is shared with.,It has been used in at least one Dataiku instance.,D,../data/dataiku\data-catalog\popular-datasets.md
What is the default maximum number of days since the last rebuild for a dataset to be considered popular?,15,30,45,60,B,../data/dataiku\data-catalog\popular-datasets.md
Which parameter ensures that only datasets part of at least one Data Collection are considered popular?,Max # days since last rebuild,Max # days since last used by a new recipe,Only from data collections,Only trending datasets,C,../data/dataiku\data-catalog\popular-datasets.md
What can users do with datasets in a Data Collection? (Choose two.),Explore and publish datasets,Delete datasets permanently,Mark datasets as favorite and preview content,Change the schema of datasets,"A, C",../data/dataiku\data-catalog\data-collections\index.md
Who can publish datasets to a Data Collection?,Any user,Users with relevant permissions,Only administrators,Only dataset owners,B,../data/dataiku\data-catalog\data-collections\index.md
Which of the following roles can edit the settings of a Data Collection?,Admins,Contributors,Readers,All of the above,A,../data/dataiku\data-catalog\data-collections\managing.md
What permission is required for a Contributor to publish a dataset from a DSS project to a Data Collection?,Permission from the Data Collection Admin,Permission from the project owner,Permission from the instance admin,No additional permission is required,B,../data/dataiku\data-catalog\data-collections\managing.md
Which of the following actions can a Reader perform within a Data Collection?,Edit the Data Collection settings,Publish datasets to the Data Collection,Access and interact with the content of the Data Collection,Add or remove DSS users and groups from the collection,C,../data/dataiku\data-catalog\data-collections\managing.md
What happens if a user has no other access and the dataset is not an authorized object?,The user will see the dataset but with limited details.,The user will be granted full access to the dataset.,The user will not be able to see the dataset in the Data Collection.,The user will be able to preview the dataset but not export it.,C,../data/dataiku\data-catalog\data-collections\permissions-and-dataset-visibility.md
Which of the following is NOT available for a discoverable dataset?,Project name,Dataset schema,Dataset tags,Data Steward,B,../data/dataiku\data-catalog\data-collections\permissions-and-dataset-visibility.md
Which of the following authorizations is NOT required for a user to publish datasets to a Data Collection?,Publish to Data Collections global group authorization,Publish to Data Collections project-level authorization,Contributor or Admin role on the Data Collection,Read-only access to the dataset,D,../data/dataiku\data-catalog\data-collections\publish-to-data-collection.md
Who can remove datasets from a Data Collection?,Any user with read access,Any Data Collection member with the Contributor or Admin role,Only the instance admin,Only the project admin,B,../data/dataiku\data-catalog\data-collections\publish-to-data-collection.md
What is the primary purpose of a bundle in Dataiku?,To move a project with all its contents from one node to another.,To transfer the metadata and data needed to replay tasks in a production environment.,To create a backup of the project.,To share the project with external collaborators.,B,../data/dataiku\deployment\creating-bundles.md
Which of the following is NOT included in the metadata snapshot of a bundle?,Project settings,Notebooks,Actual data,Recipes,C,../data/dataiku\deployment\creating-bundles.md
What can optionally be added to a bundle in Dataiku?,Global shared code,Static datasets,User-defined meanings,Project Deployer settings,B,../data/dataiku\deployment\creating-bundles.md
What is the first step in deploying a bundle using the Project Deployer?,Publishing the bundle on the Project Deployer,Creating the bundle,Deploying the bundle to the infrastructure,Modifying deployment settings,B,../data/dataiku\deployment\deploying-bundles.md
Which of the following is NOT a setting that can be modified from the Project Deployer's Settings tab?,Project's local variables,Connection remapping,Current active bundle,Creating new scenarios,D,../data/dataiku\deployment\deploying-bundles.md
What happens if you modify a deployment setting but do not click the 'Update' button?,The deployment will be deleted,The deployment will enter an 'Out of sync' state,The deployment will be automatically updated,Nothing will happen,B,../data/dataiku\deployment\deploying-bundles.md
What is the primary function of the DSS Automation Node?,To design and build data logic.,To manage all Automation nodes.,To separate development and production environments and deploy DSS projects in production.,To handle the deployment of API services.,C,../data/dataiku\deployment\index.md
Which of the following is NOT a component of the Project Deployer?,Managing all Automation nodes,Deploying bundles to Automation nodes,Monitoring the health and status of deployed projects,Handling the deployment of API services,D,../data/dataiku\deployment\index.md
What do bundles contain when deploying projects from the Design node to the Automation node?,A given version of the flow built in the Design node,Real-time API services,User credentials and permissions,Daily reports and dashboards,A,../data/dataiku\deployment\index.md
What is the purpose of activating a bundle in Dataiku?,To delete old project data,To extract metadata and additional data to make it the current state of the project on the Automation node,To create a new project from scratch,To export project data to an external database,B,../data/dataiku\deployment\manually-importing-bundles.md
What must be ensured before importing a bundle in Dataiku?,The Automation node is turned off,The required connections are available on the Automation node,All previous bundles are deleted,The Design node is deactivated,B,../data/dataiku\deployment\manually-importing-bundles.md
What happens if there is a conflict between the current User-defined meanings and the ones in your bundle during activation?,The bundle will be activated without any issues,A fatal error will be returned,A warning will be displayed,The bundle will be deleted,C,../data/dataiku\deployment\manually-importing-bundles.md
Which of the following stages is NOT preconfigured in DSS for deployment infrastructures?,Development,Test,Production,Staging,D,../data/dataiku\deployment\project-deployment-infrastructures.md
What is the default permission propagation setting for a new project deployed to an automation node?,None,Limited,Full,Custom,A,../data/dataiku\deployment\project-deployment-infrastructures.md
Which of the following is NOT a possible action for deployment hooks in Dataiku?,Creating a ticket in a change management tool,Publishing a message on Slack/Teams,Executing a specific scenario on the deployed project,Automatically creating new user accounts,D,../data/dataiku\deployment\project-deployment-infrastructures.md
What is the primary difference between a Local Deployer and a Standalone Deployer in Dataiku?,"Local Deployer is used for single Design or Automation nodes, while Standalone Deployer is used for multiple nodes.","Local Deployer requires additional setup, while Standalone Deployer does not.","Local Deployer is used for API services only, while Standalone Deployer is used for projects only.","Local Deployer is part of Dataiku Cloud, while Standalone Deployer is part of Dataiku Custom.",A,../data/dataiku\deployment\setup.md
What must be done on the Deployer to allow Design or Automation nodes to publish their projects or API services?,Generate a user API key with read-only privileges.,Generate an admin API key with global admin privileges.,Set the Deployer mode to 'Local'.,Create a new instance of type Deployer.,B,../data/dataiku\deployment\setup.md
What is critical for the security mechanism of the Deployer in Dataiku?,Ensuring that the same users with the same logins exist on the Deployer node.,Setting the Deployer mode to 'Remote'.,Using Dataiku Cloud Stacks for AWS.,Creating a new instance of type Deployer.,A,../data/dataiku\deployment\setup.md
"In the Explore tab of your dataset, what can you do by clicking on a column and choosing 'Analyze' from the dropdown menu?",Perform data cleaning operations.,Conduct exploratory analysis.,Export the dataset.,Merge datasets.,B,../data/dataiku\explore\analyze.md
Which of the following is NOT a feature provided by the 'Explore' component in Data Science Studio (DSS)?,Quick descriptive statistics,"Meanings, i.e., rich types",Ability to sort and filter the sample,Building machine learning models,D,../data/dataiku\explore\index.md
Which sampling method in DSS involves selecting records based on a fixed number of records from each class?,First records,Random sampling (fixed number of records),Stratified (fixed number of records),Class rebalancing (approximate ratio),C,../data/dataiku\explore\index.md
Which sampling method in DSS is the fastest but can provide a biased view of the dataset?,Random sampling (fixed number of records),Stratified (fixed number of records),First records,Class rebalancing (approximate ratio),C,../data/dataiku\explore\sampling.md
What is the recommended maximum number of records for best performance in interactive exploration in DSS?,"10,000 records","50,000 records","100,000 records","200,000 records",D,../data/dataiku\explore\sampling.md
Which sampling method in DSS ensures that the distribution of values in a column is respected and may return a few more than the specified number of rows?,Random sampling (approximate ratio),Stratified (fixed number of records),Class rebalancing (approximate number of records),Last records,B,../data/dataiku\explore\sampling.md
Which of the following build modes in Dataiku DSS is the most computationally intense?,Build only this (Non recursive),Build upstream (recursive) - Build only modified,Build upstream (recursive) - Build all upstream,Build downstream (recursive) - Find outputs and build recursively,C,../data/dataiku\flow\building-datasets.md
What happens when you select 'Build only this (Non recursive)' mode in Dataiku DSS?,It builds the selected dataset and all its upstream datasets.,It builds the selected dataset using its parent recipe.,It builds all downstream datasets from the selected dataset.,It rebuilds all dependencies of the selected dataset going back to the start of the flow.,B,../data/dataiku\flow\building-datasets.md
"In Dataiku DSS, what is the default setting for models regarding retraining?",Normal,Explicit,Write-protected,Manual,B,../data/dataiku\flow\building-datasets.md
Which of the following objects is NOT included in the documentation generated by the Flow Document Generator?,Datasets,Recipes,Managed Folders,Charts,D,../data/dataiku\flow\flow-document-generator.md
What must be activated on your DSS instance to use the Flow Document Generator feature?,Graphical export library,Dataiku API,Machine learning models,Dataiku Flow,A,../data/dataiku\flow\flow-document-generator.md
Which of the following steps is necessary to enable the AI Explain feature in Dataiku DSS?,Go to Administration > Settings > OTHER > AI Services and check 'Enable AI Explain',Go to the Flow screen and select 'Explain Flow',Select a zone on the Flow screen and click 'Explain',Go to the Launchpad > Extensions > AI Services and accept the 'Dataiku AI Services Terms of Use',A,../data/dataiku\flow\flow-explanations.md
What is one of the options you can adjust when generating explanations in Dataiku DSS?,Data Source,Language,Data Format,Algorithm,B,../data/dataiku\flow\flow-explanations.md
Which of the following file types can the Flow be exported to?,"PDF, PNG, JPEG","PDF, PNG, GIF","PDF, JPEG, BMP","PDF, PNG, TIFF",A,../data/dataiku\flow\graphics-export.md
What must be done before using the Dashboards and Flow export feature?,Install a third-party plugin,Set up the export feature on your DSS instance,Update the DSS software,Enable the export feature in the user settings,B,../data/dataiku\flow\graphics-export.md
What does a tiling value of 300% do when exporting the Flow?,Zooms the Flow three times and generates up to 9 images,Zooms the Flow twice and generates up to 4 images,Zooms the Flow four times and generates up to 16 images,Zooms the Flow five times and generates up to 25 images,A,../data/dataiku\flow\graphics-export.md
What does DSS use to dynamically rebuild datasets whenever one of their parent datasets or recipes has been modified?,Flow zones,Visual grammar,Lineage,Code recipes,C,../data/dataiku\flow\index.md
Which of the following is NOT a type of recipe mentioned in the context?,Visual Recipes,Code Recipes,Plugin Recipes,Data Recipes,D,../data/dataiku\flow\index.md
What feature in DSS allows users to quickly understand a data pipeline?,Flow zones,Visual grammar,Flow explanations,Flow document generator,B,../data/dataiku\flow\index.md
What is the default number of activities that can be executed simultaneously on a DSS instance?,3,5,7,10,B,../data/dataiku\flow\limits.md
Where can administrators change the maximum number of concurrent jobs and activities on a DSS instance?,Administration > Settings > Resource control > Concurrent jobs and activities,Administration > Settings > User management,Administration > Settings > Project settings,Administration > Settings > Security,A,../data/dataiku\flow\limits.md
Which of the following is NOT a way to limit the number of activities simultaneously executed in DSS?,For a given project,For a given recipe type,For a given user,For a given dataset,D,../data/dataiku\flow\limits.md
"In DSS, which color represents processes related to machine learning?",BLUE,YELLOW,GREEN,ORANGE,C,../data/dataiku\flow\visual-grammar.md
What icon represents a Prepare recipe in DSS?,FUNNEL,BROOM,PILE OF SQUARES,BARBELL,B,../data/dataiku\flow\visual-grammar.md
Which icon represents a dataset uploaded to DSS?,TWO CUBES,ELEPHANT,UPWARD POINTING ARROW,TROPHY,C,../data/dataiku\flow\visual-grammar.md
What is the primary purpose of using flow zones in Dataiku?,To define new security boundaries.,To manage large projects by dividing them into zones.,To automatically categorize datasets.,To enhance the speed of data processing.,B,../data/dataiku\flow\zones.md
Which of the following statements is true about the default zone in Dataiku?,You can delete the default zone.,The default zone can be nested within other zones.,All nodes are initially placed in the default zone.,The default zone cannot be renamed.,C,../data/dataiku\flow\zones.md
How can you add zones in Dataiku?,By using the + Zone button at the top of the screen.,By selecting nodes and choosing 'Move to a flow zone' from the right-click menu.,By nesting zones within each other.,Both A and B.,D,../data/dataiku\flow\zones.md
Which of the following functions in Dataiku's formula language returns the length of an array?,arrayContains,arrayLen,arraySort,arrayReverse,B,../data/dataiku\formula\index.md
"In Dataiku's formula language, which function would you use to convert a string to a date?",asDate,datePart,diff,inc,A,../data/dataiku\formula\index.md
What does the 'val' function do in Dataiku's formula language?,Returns the numerical value of a column,Returns the string value of a column,Returns the value of a column with auto-detected type,Returns the length of a string,C,../data/dataiku\formula\index.md
What is Dataiku Answers primarily designed for?,Creating financial reports.,Democratizing enterprise-ready large language model chat and retrieval-augmented generation usage.,Building e-commerce websites.,Managing customer databases.,B,../data/dataiku\generative-ai\answers.md
What is required to enable the AI Code Assistant feature in Dataiku Cloud?,Being a member of the space_administrators group,Having a premium subscription,Using a self-signed certificate,Installing additional plugins,A,../data/dataiku\generative-ai\code-assistant.md
Which of the following steps is necessary to enable AI Code Assistant in Jupyter notebooks?,Install a specific plugin,Copy and execute a specific code in a cell,Restart the Jupyter server,Update the Jupyter notebook version,B,../data/dataiku\generative-ai\code-assistant.md
What might prevent the AI Code Assistant feature from being fully functional on all browsers when using Visual Studio Code?,Using a self-signed certificate,Not having admin privileges,Not enabling the feature in the Code Studio Template,Not having the latest version of Visual Studio Code,A,../data/dataiku\generative-ai\code-assistant.md
Which of the following is a prerequisite for running local HuggingFace models on Dataiku?,A running Elastic AI Kubernetes cluster with NVIDIA GPUs,A Python 2.7 setup,A fully setup Elastic AI computation capability with Ubuntu base images,A HuggingFace account with no specific model approval,A,../data/dataiku\generative-ai\huggingface-models.md
What is recommended if your containers have good outgoing Internet connectivity when creating a HuggingFace connection?,Enable DSS-managed model cache,Disable DSS-managed model cache,Use a Python 2.7 code environment,Set memory and CPU requests or limits,B,../data/dataiku\generative-ai\huggingface-models.md
Which GPU is recommended for running models such as Falcon 7B or Llama2 7B?,A100 with 80 GB of VRAM,A10 with 40 GB of VRAM,A200 with 100 GB of VRAM,A50 with 20 GB of VRAM,B,../data/dataiku\generative-ai\huggingface-models.md
Which of the following is a method for running HuggingFace models locally?,Using Hosted LLM APIs,Using the Prompt Studio,Using Locally-running HuggingFace models,Using the LLM Mesh API,C,../data/dataiku\generative-ai\index.md
What is the purpose of the AI Code Assistant in Dataiku?,To generate daily reports,To assist in writing code in Jupyter notebooks and Visual Studio Code,To detect PII in datasets,To fine-tune machine learning models,B,../data/dataiku\generative-ai\index.md
Which of the following is NOT a component of Retrieval-Augmented Generation (RAG) in Dataiku?,Concepts,Initial setup,Embedding LLMs,Model cache,D,../data/dataiku\generative-ai\index.md
Which of the following features is NOT currently available on Dataiku Cloud?,Cost monitoring,Personally Identifiable Information (PII) detection and redaction,Toxicity detection,Caching,D,../data/dataiku\generative-ai\introduction.md
What is the purpose of the LLM Mesh in Dataiku?,To provide a full-featured development environment for Prompt Engineering,To serve as the common backbone for Enterprise Generative AI Applications,To expose rich chatbots with retrieval-augmented-generation,To classify and summarize text,B,../data/dataiku\generative-ai\introduction.md
Which of the following is a feature of the Prompt Studio in Dataiku?,Audit tracing,Cost monitoring,Testing and iterating on prompts,PII detection and redaction,C,../data/dataiku\generative-ai\introduction.md
Which of the following models is NOT supported by the AWS Bedrock connection?,Anthropic Claude models,AI21 Labs Jurassic 2 models,Google BERT models,Meta Llama2 models,C,../data/dataiku\generative-ai\llm-connections.md
What is required to set up a connection to Azure OpenAI?,An Azure account with Azure OpenAI enabled,A deployed Azure OpenAI service,An Azure OpenAI API key,All of the above,D,../data/dataiku\generative-ai\llm-connections.md
Which of the following models is supported by the Databricks Mosaic AI connection?,GPT-4,MPT 30B Instruct,Claude 3,Gemini Pro,B,../data/dataiku\generative-ai\llm-connections.md
What is the purpose of DSS's model cache?,To store models from HuggingFace.,To store user data securely.,To manage database connections.,To optimize data processing speed.,A,../data/dataiku\generative-ai\model-cache.md
Which of the following is NOT a required component when manually creating a model archive for DSS?,A root folder,A folder named 'model' containing the HuggingFace model repo content,A file named 'model_metadata.json',A file named 'model_config.json',D,../data/dataiku\generative-ai\model-cache.md
